"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"11.06.2023 02:10:35"
"Gesucht nach";"LB 1250"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"6"              
"Anzahl gefundener Vorkommen";"11"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"cad_q [1982].pdf";"Untitled";"137";"of a mina LB 1250:9, cited Veenhof Old Assyrian Trade 234; note: 15 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Michel 2003 Old Assyrian Bibliography of Cuneiform Texts PIHANS 97.pdf";"";"30";"n. 75 - LB 1250 = l. 1-10, AOATT, p. 233, 235, NASHEF "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Nashef 1987 Rekonstruktion der Reiserouten zur Zeit der altassyrischen Handelsniederlassungen BTAVO B 83.PDF";"";"12";"(Nr. 1.5) LB 1250 (Nr. 21) Tabelle 1: Die dä.tum-Angaben "
"Nashef 1987 Rekonstruktion der Reiserouten zur Zeit der altassyrischen Handelsniederlassungen BTAVO B 83.PDF";"";"24";"Zalba, Zubana 21) LB 1250, 1 - 10 [1 m]Jtum a.-df-"
"Nashef 1987 Rekonstruktion der Reiserouten zur Zeit der altassyrischen Handelsniederlassungen BTAVO B 83.PDF";"";"26";"sollte - und LB 1250 läßt möglicherweise erkennen, daß der Abfolge Assur, Timilkia, Kanis "
"Nashef 1987 Rekonstruktion der Reiserouten zur Zeit der altassyrischen Handelsniederlassungen BTAVO B 83.PDF";"";"27";"10 SIPers. ? LB 1250 (Nr. 21) AUur-Uabbum-KaniS 4? 10 S/"
"Nashef 1987 Rekonstruktion der Reiserouten zur Zeit der altassyrischen Handelsniederlassungen BTAVO B 83.PDF";"";"36";"ijabbum, Kanis (LB 1250, 1-10 [Nr. 21J; TC [Nr. 1.5.]) "
"Nashef 1987 Rekonstruktion der Reiserouten zur Zeit der altassyrischen Handelsniederlassungen BTAVO B 83.PDF";"";"46";"82 Indizes LB 1250 44 1250, 1-10 38f. 1283 39f.' 44 OIP "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Kouwenberg 2017 A Grammar of Old Assyrian HdO 118.pdf";"";"259";"10-11; sim. LB 1250: 6 quoted in Veenhof 1972: 233-234; AKT 6B, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Kouwenberg_2017_GOA_HdO118.pdf";"";"259";"10-11; sim. LB 1250: 6 quoted in Veenhof 1972: 233-234; AKT 6B, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Kouwenberg_2017_GOA_HdO118.pdf";"";"259";"10-11; sim. LB 1250: 6 quoted in Veenhof 1972: 233-234; AKT 6B, "
