"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"18.06.2023 00:45:22"
"Gesucht nach";"LB 913"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"1"              
"Anzahl gefundener Vorkommen";"8"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"10";"RB 4 23x14 LB 913 RB 6 30x17 RB 4 25x16 RB 3 18x19 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"29";"25 mm (LB 913 side 1). 29 figs. 21-22. LB 908 side "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"32";"912 top; cf. LB 913 top). The maximum attested width of the seal impressions "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"32";"17 mm (LB 913 top). fig. 28. AO 21424 top"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"58";"4 low high LB 913 RB 6 low high RB 4 low high RB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"60";"2, edge 1 LB 913 side 2, edge 1 YBC 9901 side 2 YBC "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"60";"1, edge 2 LB 913 side E 1, edge 2"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"61";"LB 912 top LB 913 top YBC 9900 top RB 7 (2 tags) "
