"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"12.06.2023 21:55:58"
"Gesucht nach";"LB 1976"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"1"              
"Anzahl gefundener Vorkommen";"2"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Salonen 1968 Agricultura Mesopotamica nach sumerisch-akkadischen Quellen AASF B 149.pdf";"";"257";"». - LB 1976 = LEEMANS. op.cit. Nr. 128 (S. 65f.): "
"Salonen 1968 Agricultura Mesopotamica nach sumerisch-akkadischen Quellen AASF B 149.pdf";"";"331";"z.B.: 1) LB 1976 Vs. 3 (LEEMANS, Legal and Administrative Documents Nr. "
