"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"18.06.2023 00:19:01"
"Gesucht nach";"LB 894"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"1"              
"Anzahl gefundener Vorkommen";"12"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"7";"clay. Except for LB 894 (on which see below), the seal impressions on "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"8";"the Leiden tags, LB 894, appears to have impressions of only one seal, RB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"8";"top. Except for LB 894, each of the Leiden tags has impressions of either "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"8";"RB 3 21x11 LB 894 RB 7 10x16 RB 7 09x16 RB 7 19x14 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"16";"RB 7, (LB 894 and AO 29663) also belonged to the same group. "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"34";"– (see LB 894 side 1 and side 2, and AO 29963 side "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"35";"(below left). LB 894 side 1 fig. 35 (below right). LB 894 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"35";"(below right). LB 894 side 235 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"40";"of RB 7, LB 894 and AO 29963). A study of these objects, including "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"52";"two tags (LB 894 and AO 29963) that do not carry impressions of "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"56";"3 low high LB 894 RB 7 low high RB 7 low high RB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"61";"1, side 2 LB 894 top, side 1, side 2 AO 20318 edge 1 "
