"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"18.06.2023 00:32:11"
"Gesucht nach";"LB 903"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"1"              
"Anzahl gefundener Vorkommen";"11"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"9";"RB 4 22x12 LB 903 RB 5 29x16 RB 3 25x22 RB 2 19x21 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"19";"mm wide (LB 903 edge 2) and 18 mm high (LB 895 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"24";"899 side 2, LB 903 side 1, LB 905 side 1, YBC 17070 side "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"26";"(below right). LB 903 side 126 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"27";"22 mm (LB 903 side 1). The bottom edge of the seal appears "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"27";"seal appears on LB 903 side 1. RB 4 – (see especially LB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"57";"4 low high LB 903 RB 5 low high RB 3 low high RB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"59";"902 side 2 LB 903 edge 1, edge 2 LB 904 side 2 LB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"59";"899 side 1 LB 903 side 2 LB 905 side 2 LB 906 side "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"60";"902 side 1 LB 903 side 1 LB 904 side 1 LB 905 side "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"61";"LB 901 top LB 903 top LB 905 top LB 906 top LB 907 "
