"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"18.06.2023 00:34:35"
"Gesucht nach";"LB 905"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"1"              
"Anzahl gefundener Vorkommen";"19"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"7";"LB 900 base, LB 905 side 2, LB 908 side 2 and edge 1. "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"9";"4 21x09 / LB 905 RB 5 30x21 RB 3 (2x) l. 04x13 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"10";"three, tags (LB 905 side 1 and LB 912 edge 1; doubtful: LB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"13";"RB 3 on LB 905 and 912, described above, centered on the gap between "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"17";"904 side 2, LB 905 edge 1 and 17 4Description of Seal Images "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"18";"(top right). LB 905 edge 1 fig. 4 (middle right). LB 905 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"18";"(middle right). LB 905 edge 2 fig. 5 (below right). YBC 17070 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"21";"898 side 2, LB 905 side 2, LB 911 edge 1, YBC 17070 side "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"22";"9 (above). LB 905 side 2 fig. 10 (below left). LB 898 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"24";"903 side 1, LB 905 side 1, YBC 17070 side 1, AO 20317 side "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"27";"27 fig. 19. LB 905 side 1"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"30";"– (especially LB 905 top, LB 910 top, LB 911 top, here figs. "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"30";"1. fig. 24. LB 905 top"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"31";"height are on LB 905 base: 30 and 21 mm respectively. 31 figs. 25-"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"57";"/low high LB 905 RB 5 low high RB 3 low high RB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"59";"904 side 2 LB 905 edge 1, edge 2 LB 907 edge 1, edge "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"59";"903 side 2 LB 905 side 2 LB 906 side 2 LB 907 side "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"60";"904 side 1 LB 905 side 1 LB 906 side 1 LB 907 side "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"61";"LB 903 top LB 905 top LB 906 top LB 907 top LB 908 "
