"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"11.06.2023 03:33:21"
"Gesucht nach";"LB 1311"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"5"              
"Anzahl gefundener Vorkommen";"18"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Borger 1996 Beiträge zum Inschriftenwerk Assurbanipals [2] BIWA.PDF";"";"14";"BM 128227 + LB 1311 (MLVS III 16ff.). F 25) BM 128224 + "
"Borger 1996 Beiträge zum Inschriftenwerk Assurbanipals [2] BIWA.PDF";"";"190";"128227 +RB LB 1311) F24. BM 128134 4°-Heft 418 (Kol. II'). "
"Borger 1996 Beiträge zum Inschriftenwerk Assurbanipals [2] BIWA.PDF";"";"190";"BM 128227 + LB 1311 4°-Heft 424f. (LB 1311 Bohl, ML VS "
"Borger 1996 Beiträge zum Inschriftenwerk Assurbanipals [2] BIWA.PDF";"";"190";"Heft 424f. (LB 1311 Bohl, ML VS III 16ff.). Kol. I' = Fl "
"Borger 1996 Beiträge zum Inschriftenwerk Assurbanipals [2] BIWA.PDF";"";"201";"- III 6. LB 1311) BM 128134+ (F24). Bohl, MLVS III 16ff. 4°-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Borger 1996 Beiträge zum Inschriftenwerk Assurbanipals BIWA.pdf";"";"14";"BM 128227 + LB 1311 (MLVS m 16ff.). F 25) BM 128224 + "
"Borger 1996 Beiträge zum Inschriftenwerk Assurbanipals BIWA.pdf";"";"191";"128227 +RB LB 1311) F24. BM 128134 4°-Heft 418 (KoI. TI'). "
"Borger 1996 Beiträge zum Inschriftenwerk Assurbanipals BIWA.pdf";"";"191";"Heft 424f. (LB 1311 Böhl, MLVS III 16ff.). KoI. I' = Fl 175 "
"Borger 1996 Beiträge zum Inschriftenwerk Assurbanipals BIWA.pdf";"";"202";"- III 6. LB 1311) --> BM 128134+ (F24). Böhl, MLVS III 16ff. "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RINAP 5-1 Novotny & Jeffers The Royal Inscriptions of Ashurbanipal, Assur-etel-ilani and Sin-sharra-ishkun, Part 1 2018.pdf";"Microsoft Word - RINAP5_FM1.docx";"217";"BM 128227 (+) LB 1311 1929-10-12,790 + 1932-12-10,484 As ex. "
"RINAP 5-1 Novotny & Jeffers The Royal Inscriptions of Ashurbanipal, Assur-etel-ilani and Sin-sharra-ishkun, Part 1 2018.pdf";"Microsoft Word - RINAP5_FM1.docx";"224";"1313], 24 [LB 1311], 27 [LB 1314], 33 [LB 1310], transliteration, "
"RINAP 5-1 Novotny & Jeffers The Royal Inscriptions of Ashurbanipal, Assur-etel-ilani and Sin-sharra-ishkun, Part 1 2018.pdf";"Microsoft Word - RINAP5_FM1.docx";"432";"LB 1310+ 9.33 LB 1311+ 9.24 LB 1312 9.203 LB 1313+ 9.14 LB 1314+ "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RINAP 5-1 Novotny & Jeffers The Royal Inscriptions of Ashurbanipal, Assur-etel-ilani and Sin-sharra-ishkun, Part 1 2018.pdf";"Microsoft Word - RINAP5_FM1.docx";"217";"BM 128227 (+) LB 1311 1929-10-12,790 + 1932-12-10,484 As ex. "
"RINAP 5-1 Novotny & Jeffers The Royal Inscriptions of Ashurbanipal, Assur-etel-ilani and Sin-sharra-ishkun, Part 1 2018.pdf";"Microsoft Word - RINAP5_FM1.docx";"224";"1313], 24 [LB 1311], 27 [LB 1314], 33 [LB 1310], transliteration, "
"RINAP 5-1 Novotny & Jeffers The Royal Inscriptions of Ashurbanipal, Assur-etel-ilani and Sin-sharra-ishkun, Part 1 2018.pdf";"Microsoft Word - RINAP5_FM1.docx";"432";"LB 1310+ 9.33 LB 1311+ 9.24 LB 1312 9.203 LB 1313+ 9.14 LB 1314+ "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Eidem-Petit_Phoenix 59-3_2013_17-20_LB-1311.pdf";"";"2";"Fehler beim Abrufen des Texts"
"Eidem-Petit_Phoenix 59-3_2013_17-20_LB-1311.pdf";"";"3";"Fehler beim Abrufen des Texts"
"Eidem-Petit_Phoenix 59-3_2013_17-20_LB-1311.pdf";"";"3";"Fehler beim Abrufen des Texts"
