"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"12.06.2023 19:53:37"
"Gesucht nach";"LB 1886"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"11"             
"Anzahl gefundener Vorkommen";"22"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Huehnergard 1997 A grammar of Akkadian HSS 45.pdf";"";"246";"4 pl. 31 LB 1886 = Frankena, AbB 3 55. [a-n]aS "
"Huehnergard 1997 A grammar of Akkadian HSS 45.pdf";"";"246";"4 pI. 31 LB 1886 == Frankena, AbB 3 55. 1 [a-n]"
"Huehnergard 1997 A grammar of Akkadian HSS 45.pdf";"";"349";"35 4 p1.31 LB 1886 36 UCP 9/4 p. 329 no. 4 37 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Huehnergard 2005 A Grammar of Akkadian, 2nd edition HSS 45.pdf";"";"248";"4 pl. 31 LB 1886 = Frankena, AbB 3 55. [a-n]ag "
"Huehnergard 2005 A Grammar of Akkadian, 2nd edition HSS 45.pdf";"";"346";"4 pl. 31 LB 1886 36 UCP 9/4 p. 329 no. 4 37 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 63 1994.pdf";"";"178";"Moab (Freiburg LB. 1886) 14, note 1, the division sign, which is uncertain, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Frankena 1978 Kommentar zu den altbabylonischen Briefen aus Lagaba und anderen Orten SLB 4.pdf";"";"186";"(uttäfiäu). 55. LB 1886 (TLB IV, Taf.31). Ein Brief von Nür-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Huehnergard 2005 A Grammar of Akkadian, 2nd edition HSS 45.pdf";"";"248";"4 pl. 31 LB 1886 = Frankena, AbB 3 55. [a-n]ag "
"Huehnergard 2005 A Grammar of Akkadian, 2nd edition HSS 45.pdf";"";"346";"4 pl. 31 LB 1886 36 UCP 9/4 p. 329 no. 4 37 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Huehnergard 2005 A Grammar of Akkadian, 2nd edition HSS 45 (1).pdf";"";"248";"4 pl. 31 LB 1886 = Frankena, AbB 3 55. [a-n]ag "
"Huehnergard 2005 A Grammar of Akkadian, 2nd edition HSS 45 (1).pdf";"";"346";"4 pl. 31 LB 1886 36 UCP 9/4 p. 329 no. 4 37 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Huehnergard 1997 A grammar of Akkadian HSS 45.pdf";"";"246";"4 pl. 31 LB 1886 = Frankena, AbB 3 55. [a-n]aS "
"Huehnergard 1997 A grammar of Akkadian HSS 45.pdf";"";"246";"4 pI. 31 LB 1886 == Frankena, AbB 3 55. 1 [a-n]"
"Huehnergard 1997 A grammar of Akkadian HSS 45.pdf";"";"349";"35 4 p1.31 LB 1886 36 UCP 9/4 p. 329 no. 4 37 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"AbB 3 Frankena 1968 Briefe aus der Leidener Sammlung (TLB 4).pdf";"";"26";"TI. 31 (LB 1886). (Vs.) 1 [a-n]a sa-pi-"
"AbB 3 Frankena 1968 Briefe aus der Leidener Sammlung (TLB 4).pdf";"";"26";"mir schicken. 55. LB 1886. 1 Zu meinem Gebieter sprich : 2 also sagt "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"AbB 3 Frankena 1968 Briefe aus der Leidener Sammlung (TLB 4).pdf";"";"26";"TI. 31 (LB 1886). (Vs.) 1 [a-n]a sa-pi-"
"AbB 3 Frankena 1968 Briefe aus der Leidener Sammlung (TLB 4).pdf";"";"26";"mir schicken. 55. LB 1886. 1 Zu meinem Gebieter sprich : 2 also sagt "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"A Grammar of Akkadian (Third Edition)] A Grammar of Akkadian (Third Edition).pdf";"9781575069418_print_content_text.pdf";"488";"4 pl. 31 LB 1886 = Frankena, AbB 3 55. 1 [a-n]"
"A Grammar of Akkadian (Third Edition)] A Grammar of Akkadian (Third Edition).pdf";"9781575069418_print_content_text.pdf";"696";"4 pl. 31 LB 1886 36 UCP 9/4 p.329 no. 4 37 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"A Grammar of Akkadian (Third Edition)] A Grammar of Akkadian (Third Edition).pdf";"9781575069418_print_content_text.pdf";"488";"4 pl. 31 LB 1886 = Frankena, AbB 3 55. 1 [a-n]"
"A Grammar of Akkadian (Third Edition)] A Grammar of Akkadian (Third Edition).pdf";"9781575069418_print_content_text.pdf";"696";"4 pl. 31 LB 1886 36 UCP 9/4 p.329 no. 4 37 "
