"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"18.06.2023 00:17:49"
"Gesucht nach";"LB 893"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"1"              
"Anzahl gefundener Vorkommen";"10"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"1";"seal impressions (LB 893- 913). The editorial board of ARTA thanks the curators "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"7";"are visible on LB 893 side 1, LB 901 side 1 and side 2, "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"7";"traces appear on LB 893 side 2, LB 900 base, LB 905 side 2, "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"8";"Leiden tags (LB 893-913). The measurements of the impressions are indicated in "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"8";"1 edge 2 LB 893 RB 6 33x12 RB 1 t 20x17 RB 3 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"32";"33 mm (LB 893 top); the maximum height 17 mm (LB 913 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"56";"3 low high LB 893 RB 6 low high RB 1 low high RB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"59";"1, edge 2 LB 893 side 1 LB 895 side 1 edge 1? LB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"60";"2, edge 1 LB 893 side 2, edge 1, edge 2 LB 895 side "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"61";"H. 890 top LB 893 top LB 895 top LB 897 top LB 900 "
