"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"18.06.2023 00:38:11"
"Gesucht nach";"LB 908"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"1"              
"Anzahl gefundener Vorkommen";"10"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"7";"and side 2, LB 908 side 1, LB 911 side 1 and side 2, "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"7";"905 side 2, LB 908 side 2 and edge 1. Seal impressions – Seals "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"9";"19x09 RB 1 LB 908 RB 5 30x17 RB 3 t 27x20 RB 4 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"27";"2004.001 mm (LB 908 side 1), the maximum height 22 mm (LB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"27";"(see especially LB 908 side 2, LB 911 edge 2, here figs 21-"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"29";"figs. 21-22. LB 908 side 2 and LB 911 edge 2"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"58";"1 low high LB 908 RB 5 low high RB 3 low high RB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"60";"907 side 2 LB 908 side 1, edge 1 LB 910 side 1 LB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"60";"904 edge 1 LB 908 side 2, edge 2 LB 909 side 1, edge "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"61";"LB 907 top LB 908 top LB 910 top LB 911 top YBC 9901 "
