"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"18.06.2023 00:33:23"
"Gesucht nach";"LB 904"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"1"              
"Anzahl gefundener Vorkommen";"10"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"4";"on edge 2; LB 904 has “171” on side 1. LB 902 side "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"9";"RB 1 29x09 LB 904 RB 6 30x14 RB 3 23x17 RB 1 23x19 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"17";"(see especially LB 904 side 2, LB 905 edge 1 and 17 4"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"17";"(see especially LB 904 side 2 ) 20 The birds’ horns are especially "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"18";"2. (above). LB 904 side 2 fig. 3 (top right). LB 905 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"57";"1 low high LB 904 RB 6 low high RB 3 low high RB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"59";"1, edge 2 LB 904 side 2 LB 905 edge 1, edge 2 LB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"60";"903 side 1 LB 904 side 1 LB 905 side 1 LB 906 side "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"60";"1, edge 2 LB 904 edge 1 LB 908 side 2, edge 2 LB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"61";"LB 902 top LB 904 top LB 909 top LB 912 top LB 913 "
