"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"18.06.2023 00:42:58"
"Gesucht nach";"LB 911"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"1"              
"Anzahl gefundener Vorkommen";"14"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"7";"908 side 1, LB 911 side 1 and side 2, LB 912 side 1. "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"10";"RB 1 14x09 LB 911 RB 5 27x16 RB 2 t 21x18 RB 4 "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"21";"905 side 2, LB 911 edge 1, YBC 17070 side 2, AO 20319 side "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"21";"mm wide (LB 911 edge 1). The bottom edge of the seal is "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"23";"side 2 and LB 911 edge 1"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"27";"908 side 2, LB 911 edge 2, here figs 21-22): a rampant lion "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"29";"901 side 2, LB 911 side 2). The maximum attested width is 25 mm "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"29";"side 2 and LB 911 edge 2"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"30";"LB 910 top, LB 911 top, here figs. 24-6): a lion rears over "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"31";"910 top and LB 911 top"
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"58";"1 low high LB 911 RB 5 low high RB 2 low high RB "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"59";"910 side 2 LB 911 side 1, edge 1 YBC 9901 side 1 YBC "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"60";"1, edge 1 LB 911 side 2, edge 2 LB 912 side 1, edge "
"Clay_Tags-Henkelman-ARTA-2004-1.pdf";"";"61";"LB 910 top LB 911 top YBC 9901 top YBC 17070 top RB 6 "
