"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"09.06.2023 21:39:45"
"Gesucht nach";"A 7882"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"7"              
"Anzahl gefundener Vorkommen";"13"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"CatBM 3 Sigrist, Zadok & Walker (2006).pdf";"";"172";"partial duplicate to A 7882 (Chicago) 42 27777 Ur III L Area of "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Lambert 2013 Babylonian Creation Myths MC 16.pdf";"";"545";"28-3 0 A 7882 Damkina's Bond 54 A 17634 Unilingual/Bi lingual Account "
"Lambert 2013 Babylonian Creation Myths MC 16.pdf";"";"605";"Damkina's Bond 588 A 7882 Copy by Robert D. Biggs "
"Lambert 2013 Babylonian Creation Myths MC 16.pdf";"";"638";"4 1 7 A 7882 3 2 2 A 1 7643 3 5 0 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Lambert & Millard 1968 Atrahasis The Babylonian Story of the Flood.pdf";"";"84";"tuk-ka (A 7882. 13). G ii. 9, cf. V obv. 2 While "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Oshima 2011 Babylonian Prayers to Marduk ORA 7.pdf";"";"55";"include Enlil (A. 7882//BM 27776)188 instructs that it be revealed to "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Rutz 2016a Rv Fs Goodnick Westenholz BPOA 8 JAOS 136.pdf";"";"2";"mythological text (A 7882 // BM 27776) that features Marduk, Enlil, and Damkianna, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Oshima 2010 'Damkianna shall not bring back her burden in the future'- a new mythological text of Marduk, Enlil and Damkianna BPOA 8 Fs Goodnick Westenholz.pdf";"";"1";"7-11. Unlike A 7882, this exemplar is written in Neo-Babylonian script. The "
"Oshima 2010 'Damkianna shall not bring back her burden in the future'- a new mythological text of Marduk, Enlil and Damkianna BPOA 8 Fs Goodnick Westenholz.pdf";"";"1";"permission to publish A 7882. Prof. W. Farber and J. Tenney are especially thanked "
"Oshima 2010 'Damkianna shall not bring back her burden in the future'- a new mythological text of Marduk, Enlil and Damkianna BPOA 8 Fs Goodnick Westenholz.pdf";"";"1";"me photographs of A 7882 in the initial stage of preparation of this article. "
"Oshima 2010 'Damkianna shall not bring back her burden in the future'- a new mythological text of Marduk, Enlil and Damkianna BPOA 8 Fs Goodnick Westenholz.pdf";"";"1";"The identifications of A 7882 and BM 27776 were given by Sigrist, Zadok and "
"Oshima 2010 'Damkianna shall not bring back her burden in the future'- a new mythological text of Marduk, Enlil and Damkianna BPOA 8 Fs Goodnick Westenholz.pdf";"";"3";"Manuscripts MS A: A 7882 (N.Ass.) ............ Copy, p;158, Photbgtaph,p."

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Creation-Myths_Enmesharraetc..pdf";"Creation-Myths_Enmesharraetc.";"55";"Damkina’s Bond 55 A 7882: 1–37 BM 27776 (98-7-11, 41): "
