"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"27.05.2023 00:51:19"
"Gesucht nach";"A 3386"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"5"              
"Anzahl gefundener Vorkommen";"9"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Pedersén 1997 Katalog der Beschrifteten Objekte aus Assur ADOG 23.pdf";"";"86";"nicht Ass 3594a); A 3386; Kode: TKn Inhalt: Salmanassar I: Assur-Tempel; Periode: mAss "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RIMS 1 Donbaz & Grayson 1984 Royal Inscriptions on Clay Cones from Assur now in Istanbul.pdf";"";"34";"Ass 3594a (A 3386); lines 9-15 Ass 3626 (A 3387); lines "
"RIMS 1 Donbaz & Grayson 1984 Royal Inscriptions on Clay Cones from Assur now in Istanbul.pdf";"";"89";"A 3385 261 A 3386 58 A 3387 59 A 3389 100 A 3390 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RIMA 1 Grayson 1987 Assyrian Rulers of the Third and Second Millennia BC (TO 1115 BC).pdf";"";"211";"3533 11684 44 A 3386 3594a 45 VA Ass 2072 11506 46 A 3420 "
"RIMA 1 Grayson 1987 Assyrian Rulers of the Third and Second Millennia BC (TO 1115 BC).pdf";"";"367";"A 3384 77.2.15 A 3386 77.2.44 A 3387 77.2.57 A 3389 78.21 A 3390 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RIMS 1 Donbaz & Grayson 1984 Royal Inscriptions on Clay Cones from Assur now in Istanbul.pdf";"";"34";"Ass 3594a (A 3386); lines 9-15 Ass 3626 (A 3387); lines "
"RIMS 1 Donbaz & Grayson 1984 Royal Inscriptions on Clay Cones from Assur now in Istanbul.pdf";"";"89";"A 3385 261 A 3386 58 A 3387 59 A 3389 100 A 3390 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RIMA 1 Grayson 1987 Assyrian Rulers of the Third and Second Millennia BC (TO 1115 BC).pdf";"";"211";"3533 11684 44 A 3386 3594a 45 VA Ass 2072 11506 46 A 3420 "
"RIMA 1 Grayson 1987 Assyrian Rulers of the Third and Second Millennia BC (TO 1115 BC).pdf";"";"367";"A 3384 77.2.15 A 3386 77.2.44 A 3387 77.2.57 A 3389 78.21 A 3390 "
