"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"26.05.2023 22:10:32"
"Gesucht nach";"A 33525"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"6"              
"Anzahl gefundener Vorkommen";"10"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Alster 1997 Proverbs of Ancient Sumer SP.pdf";"";"162";"T 922h (= A 33525 + A 33554). Not used here. ~ Lenticular School "
"Alster 1997 Proverbs of Ancient Sumer SP.pdf";"";"301";"T 922h (= A 33525 + A 33554): SP 14. Not used. A 29967 "
"Alster 1997 Proverbs of Ancient Sumer SP.pdf";"";"539";"T 922b (= A 33525 + A 33554) (coll. J. Taylor); lines in "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Veldhuis 2000 Sumerian Proverbs in Their Curricular Context (Rv Alster SP) JAOS 120.pdf";"";"12";"T922b ( = A 33525 + A 33554). This is a type II tablet "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MSL 12 Lú = ša.pdf";"";"40";"T 922b (=A 33525) • • • • 601-11 • W' CBS "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MSL 12 Lú = ša.pdf";"";"40";"T 922b (=A 33525) • • • • 601-11 • W' CBS "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Nippur Catalogue.pdf";"";"519";"NT 921h (A 33525); TA 191 XI l; frag • lines; Proto-Izi, "
"Nippur Catalogue.pdf";"";"525";"NT 921h = A 33525 ?? 3 NT 922c (A 33555); T.~ 191 "
"Nippur Catalogue.pdf";"";"567";"Itr 92lh+ }. A 33525 3 NT 922b 3 NT 922b: 12 12 12 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Civil n.d. Index to the Corpus of Sumerian Literature_1999 vers.pdf";"";"180";"=> 3N-T921a A 33525 => 3N-T920h A 33536 => 3N-T921s A "
