"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"19.05.2023 22:57:40"
"Gesucht nach";"A 1169"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"7"              
"Anzahl gefundener Vorkommen";"10"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Durand 2005 Le culte des pierres et les monuments commémoratifs en Syrie amorrite Florilegium marianum 8.pdf";"";"109";"6184+ = 26 A.1169 ""-' 33 M.(,321 = 47 A.1489 ·"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Brockelmann 2016 History of the Arabic Written Tradition. Supplement Volume 1 HdO 117-S1.pdf";"";"832";"456, Šehid .A. 1169, Cairo1 II, 81, 2I, 291 (Mosul 90,48 attributed "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"670";"319, 322, 498, A 1169; Pl.D. (mit enkl. Possessivpronomen 3.Sg.) appalal="
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"672";"309, A 1117, A 1169 battalkilna- c. A 712 battalu- n. 221; hatta-lu- "
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"678";"311, A 1117, A 1169 pappasali- pasa-c. (Lw.): Sg.A. uzupa-ap-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Delaporte 1923 Catalogue des cylindres orientaux, cachets et pierres gravées du Musée du Louvre. II. Acquisitions CCL 2.pdf";"";"118";"105, fig. 20. A. 1169. Figure g6om6trique formee de trois lignes, I’une horizontale, les "
"Delaporte 1923 Catalogue des cylindres orientaux, cachets et pierres gravées du Musée du Louvre. II. Acquisitions CCL 2.pdf";"";"118";"voir ci-dessus A. 1169. La combinaison de deux protomes de quadrupedes se remarque "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Yang 1989 Sargonic Inscriptions from Adab PPAC I.pdf";"";"17";"(no date) A 1169, an account sf anrmals (no date) A 1170, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"KeiBi 40 1978.pdf";"";"49";"F.: 1399 Harif A.: 1169 Harmand J.: 1383 Harmatta J.: 777, 608 Harouthyounyan s. "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"KeiBi 38 1976.pdf";"";"44";"72 Littauer M. A.: 1169 Liverani M.: 135, 702, 717, 814f., 1006 Loding D.: "
