"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"19.05.2023 18:08:22"
"Gesucht nach";"A 1018"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"6"              
"Anzahl gefundener Vorkommen";"8"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 45 1976.pdf";"";"277";"Groenewegen-Frankfort H. A.: 1018 Gropp G.: 668 Grotefend G. F.: 32f., 52 Grothus "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 37 1968.pdf";"";"239";"128' lfenabde, lt A.: 1018 Mendarabad: 17/J Menl~: 1461 lfenua: IJ56 lferiggi. P.: "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Delaporte 1923 Catalogue des cylindres orientaux, cachets et pierres gravées du Musée du Louvre. II. Acquisitions CCL 2.pdf";"";"109";"fig. 16a, 16b. A. 1018, Antilope et taureau couch6s sur la bordure circulaire stri6e. "
"Delaporte 1923 Catalogue des cylindres orientaux, cachets et pierres gravées du Musée du Louvre. II. Acquisitions CCL 2.pdf";"";"140";"S 322, 341, A 1018. - (comes d’), A 1183. - (protome "
"Delaporte 1923 Catalogue des cylindres orientaux, cachets et pierres gravées du Musée du Louvre. II. Acquisitions CCL 2.pdf";"";"187";"45) 158 (A.1018) 22"" (A.1024) 23"" (A.1025) 22b "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Donbradi 1996 Die Darstellung des Rechtsaustrags in den altbabylonischen Prozessurkunden. Halbband II FAOS 20-2.pdf";"";"383";"A387, A.2l88 A.1018 „A„628 1\1516 }\1S10 A.2451 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"KeiBi 37 1975.pdf";"";"38";"Groenewegen_ Frankfort H. A.: 1018 Gropp G.: 668 Grotefend G. F.: 32J., 52 Grothus "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"KeiBi 29 1966-1967.pdf";"";"191";"1284 Menabde, Ë. A.: 1018 Mendarabad: 1713 Menteºe: 1464 Menua: 1356 Meriggi, P.: 152, "
