"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"29.05.2023 23:53:14"
"Gesucht nach";"A 5290"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"3"              
"Anzahl gefundener Vorkommen";"3"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Fs van der Heide.pdf";"";"88";"วลวยวม A-5290 (olim Ros. 20 G 2) ... ..... ...... "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"AS 21 Gelb 1980 Computer-aided Analysis of Amorite.pdf";"";"649";"RIP>-I+HEDD-A 5290. RIPJ-I+DAGAN 5291. RIP>-I + flADD-U "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"AS 21 Gelb 1980 Computer-aided Analysis of Amorite.pdf";"";"649";"RIP>-I+HEDD-A 5290. RIPJ-I+DAGAN 5291. RIP>-I + flADD-U "
