"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"22.05.2023 16:55:10"
"Gesucht nach";"A 30214"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"3"              
"Anzahl gefundener Vorkommen";"3"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Crisostomo 2019 Translation as Scholarship- Language, Writing, and Bilingual Education in Ancient Babylonia SANER 22.pdf";"";"231";"P229573 Museum No. A 30214 Pub (MSL 13) I: P1 obverse Model contract "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MSL 13 Izi=i..tu, Ka.gal = abullu, ....pdf";"";"21";"311-22. PI A 30214 (II/2; obv. Model contracts) 84-103. QI "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MSL 13 Izi=i..tu, Ka.gal = abullu, ....pdf";"";"21";"311-22. PI A 30214 (II/2; obv. Model contracts) 84-103. QI "
