"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"20.05.2023 03:51:37"
"Gesucht nach";"A 1601"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"1"              
"Anzahl gefundener Vorkommen";"10"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"641";"barra- n. 1 A 1601, A 1604 *barraja(li)- 424 barraja- n. 424; "
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"655";"(akkad. Lw.) A 1601; Sg.N. za-am-mi-ta-a-ti-is "
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"666";"Hermippos, 5.Jh.) A 1601 I1É 18aA.a (ON) (Lydien) A 1602 Tar-"
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"689";"(luw. Lw.) A 1601 Eeaxwr; (PN, in lyk. Wiedergabe) 345 axa<pi&"
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"694";"( altbabylon., Mari) A 1601 saparru 340 subuppatum: sa-bu-pa-tum A 1148 "
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"699";"1535 N~ARA A 1601 AS.ME 410 1478 BAD 594 DUG luw. ("
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"700";"TA-A-TI A 1601 SARSARU: KA SA-AR-SA-RI A 1058 5. "
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"702";"Lehnwort im Griech. A 1601 *e (uridg.) > k.-luw. a 192 "
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"712";".Muhle"" 117, A 1601; kullusdnn(i)- 117, kuramman- 486, kurann(i)- 117; *"
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"714";"(k.luw.) A 1601; Nahrung, Ernahrung (k.-luw.) 161 f.; Obst ("
