"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"20.05.2023 03:21:48"
"Gesucht nach";"A 1529"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"5"              
"Anzahl gefundener Vorkommen";"6"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"WZKM1981.pdf";"";"236";"'Abdalläh 'A. 1529 Ibrählm, 'Abdalla~lf 1964 ibrahim Hakkl b. 401 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 50 1981.pdf";"";"191";"1979-80) 1571-A. 1529. Schmandt-Besserat, D., Ocher in Prehistory: 300,000 Years of "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Starke 1991 Untersuchung zur Stammbildung des keilschrift-luwischen Nomens StBoT 31.pdf";"";"691";"359 *isamo- A 1529 beran (ahd.) A 1029 berg-skor (altwestnord.) "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Richter 20042 Untersuchungen zu den lokalen Panthea Süd- und Mittelbabyloniens in altbabylonischer Zeit AOAT 257.pdf";"";"598";"1668 Gula 193, A. 1529 Inana 154, A. 1543, A. 2009 ISkur 478 Kuan "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"KeiBi 42 1980.pdf";"";"51";"1979-80) 1571-A. 1529. S c h m a n d t - "
"KeiBi 42 1980.pdf";"";"51";"1979-80) 1571-A. 1529. Schmandt-Besserat, D., Oeher in Prehistory: 300,000 Years of "
