"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"04.06.2023 02:00:17"
"Gesucht nach";"A 759"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"20"             
"Anzahl gefundener Vorkommen";"28"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Mayr_2005_SITU.pdf";"SITU 05 03 b";"125";"173 A, 454 A, 759 A, 772 A - D, 842 A išib ("

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"4241576.pdf";"Excavations at Tall Arpachiyah, 1933";"17";"p. 152. 5. A 759 (B.) ? p. 153. 6. A 279 ("
"4241576.pdf";"Excavations at Tall Arpachiyah, 1933";"195";"71, No. 5, A 759. Ht. 0-065 m? Pinkish-buff clay, black paint. "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"ZA 107 2017.pdf";"";"105";"Ass. 13058 dc A 759 59 M 7:91 Ass. 13058 dl A 1730 "
"ZA 107 2017.pdf";"";"106";"14327 a 119 A 759 Ass. 13058 dc 59 A 761 Ass. 14842 ak "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"JEOL 25, 1977-8.pdf";"";"21";"731, A 737, A 759. Earlier representations exist : B. PARKER, Iraq 24, 1962, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"AfO 33 1986.pdf";"";"228";"(E 872; A 759), in: GM 65 ('83), p. 7-22 ("
"AfO 33 1986.pdf";"";"228";"(E 872; A 759), in: GM 65 ('83), p. 7-22 ("

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"AfO 18 1957-8.pdf";"";"142";"Apries : Kopenhagen A 759 - :\f. :\iogensen, La Glyptotheque .Yy "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 15 1946.pdf";"";"25";"fig . 19a, A. 759, pi. 92, fig. 29; Cachets or. de la Colt. "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"BagM 31 2000.pdf";"";"164";"61; Delaporte 1923: A.759, pi. 92, No. 29; von der Osten 1957: No. "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
