"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"09.06.2023 18:59:08"
"Gesucht nach";"A 7757"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"6"              
"Anzahl gefundener Vorkommen";"13"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"JAOS1981.pdf";"";"135";"1318b]. Note also A. 7757:25, now published in Greengus, Olel Bahylol1ian Tahlels from "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RA 70 1976.pdf";"";"83";"unpublished OB text A 7757, partly communicated m 517 , and RlA III, 321). "
"RA 70 1976.pdf";"";"83";"presumably also from A 7757 (which menti~ns this symbolic rite but not "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"AfO 29-30 1983.pdf";"";"51";"der Museums-NI'. A 7757 aufgeführt. Eine weitere R-Form von tamu findet sich "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 50 1981.pdf";"";"3";"3. masc. pI., A 7757:24, unpubl. OB Ishchali legal) 9 (5) it-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Malul 1983 Studies in legal symbolic acts in Mesopotamian law PhD.pdf";"";"253";"which apears in A 7757 and BRP 91 in the stative form batqat. 134 "
"Malul 1983 Studies in legal symbolic acts in Mesopotamian law PhD.pdf";"";"256";"i•> • 146 A 7757 is unfortunately unpublished, and its contents are unknown. CT "
"Malul 1983 Studies in legal symbolic acts in Mesopotamian law PhD.pdf";"";"276";"Samsuiluna date. Finally, A 7757, an unpublished OB document cited by Greengus, JROS, 89("
"Malul 1983 Studies in legal symbolic acts in Mesopotamian law PhD.pdf";"";"277";"unpublished OB text A 7757: 14""-16"", the second possibility seems preferable, and one "
"Malul 1983 Studies in legal symbolic acts in Mesopotamian law PhD.pdf";"";"279";"four, the fifth A 7757 is unpublished, and so its contents are unknown. 153. "
"Malul 1983 Studies in legal symbolic acts in Mesopotamian law PhD.pdf";"";"279";"BflP 91 and A 7757>, i.e.: some legal change has been effectuated, and "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Malul 1988 Studies In Mesopotamian Legal Symbolism AOAT 221.pdf";"";"211";"da~e. Finally. A 7757, an unpublished OB documen~ ci'led by Greengus, JAOS. 89, "
"Malul 1988 Studies In Mesopotamian Legal Symbolism AOAT 221.pdf";"";"213";"he unpublished text- A 7757: 14' -16' [add now also t-he "
