"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"19.05.2023 23:32:06"
"Gesucht nach";"A 11841"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"3"              
"Anzahl gefundener Vorkommen";"4"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"cad_t [2006].pdf";"Untitled";"380";"bitumen as t. A. 11841 : 5 (OB leg.); uncert.: ribbat bulim ["

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Gs Sachs OPKF 9.pdf";"";"146";"different order. 5. A.11841. Tablet and fragmentary case. Tablet measures 78X47X25 mm.; upper "
"Gs Sachs OPKF 9.pdf";"";"151";"DEJONG ELLIS 5. A.11841 rev. 15. 20. u.e. TABLET ~-Urr.t~"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RA 86 1992 [2].pdf";"";"50";"ra-am-dsu'en A .11841 (Ellis, Mélanges Sachs, p. 132, nO 5, case) "
