"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"26.05.2023 18:37:04"
"Gesucht nach";"A 3226"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"2"              
"Anzahl gefundener Vorkommen";"4"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"ZA 107 2017.pdf";"";"105";"122 – – A 3226 101 – – A 3310 47 – Ass. 11017 "
"ZA 107 2017.pdf";"";"107";"14842 r 12 A 3226 – 101 A 3310 – 47 B 108 Ass. "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Maul 2017 Mittelassyrische Rechtsurkunden und Verwaltungstexte aus dem Besitz der Staatlichen Museen zu Istanbul ZA 107.pdf";"za-2017-0004_Maul.indd";"14";"122 – – A 3226 101 – – A 3310 47 – Ass. 11017 "
"Maul 2017 Mittelassyrische Rechtsurkunden und Verwaltungstexte aus dem Besitz der Staatlichen Museen zu Istanbul ZA 107.pdf";"za-2017-0004_Maul.indd";"16";"14842 r 12 A 3226 – 101 A 3310 – 47 B 108 Ass. "
