"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"26.05.2023 22:04:47"
"Gesucht nach";"A 33509"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"3"              
"Anzahl gefundener Vorkommen";"3"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MSL 13 Izi=i..tu, Ka.gal = abullu, ....pdf";"";"98";"170-85. s1 A 33509 (I) 31-36, 562-65. T1 UM 29-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MSL 13 Izi=i..tu, Ka.gal = abullu, ....pdf";"";"98";"170-85. s1 A 33509 (I) 31-36, 562-65. T1 UM 29-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Nippur Catalogue.pdf";"";"516";"T 920x (A .33509); TA 191 X 4; frag. 4.o x 3.0 "
