"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"27.05.2023 17:07:02"
"Gesucht nach";"A 3444"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"30"             
"Anzahl gefundener Vorkommen";"50"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Jiménez 2017 The Babylonian Disputation Poems CHANE 87.pdf";"";"292";"this function (A 3444, see George 2003: pl. 56 l. 290, see p. "
"Jiménez 2017 The Babylonian Disputation Poems CHANE 87.pdf";"";"519";"33 fn. 24 A.3444 274n699 A.4364 see s.v. arm 27, 8 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"BiOr1995.pdf";"";"195";"in Chicago (A 3444, published by A. Heidel, JNES 11 [1952], pp. "
"BiOr1995.pdf";"";"196";"1995 732 in A 3444 of the abbreviated form of the sign TI, which "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"JAOS1984.pdf";"";"195";"30 (5) A 3444 = A. Heidel, ""A Neo-Babylonian Gilgamesh,"" JNES "
"JAOS1984.pdf";"";"195";"v 14 NB A 3444 vi 8 ana I §u-§I KAS."

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"zava.1972.62.2.222.pdf";"";"1";"1952), 140ff. (= A 3444 in the University of Chicago)3 veröffentlicht. Zu diesem "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"0(4).pdf";"";"2";"the accession number A 3444. The fragment measures about 63 X 63 cm., with "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"542156.pdf";"A Neo-Babylonian Gilgamesh Fragment";"2";"the accession number A 3444. The fragment measures about 61 X 61 cm., with "
"542156.pdf";"A Neo-Babylonian Gilgamesh Fragment";"3";"INSTITUTE TABLET NO. A 3444, OBVERSE . ..............i:-:-:::: . . . i ( "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OLZ 101.pdf";"";"6";"Das Chicagoer Fragment A 3444 (= z) gehört zu einem Ankauf, in dem sich "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"George 2003 The Babylonian Gilgamesh Epic 1.pdf";"";"284";"(EE 27125) A 3444 IM 76873 r:w 23130) IM 76941 r:w "
"George 2003 The Babylonian Gilgamesh Epic 1.pdf";"";"296";"preserved on reverse A 3444 1952 A. Heidel, 'A Neo-Babylonian Gilgamesh fragment',"
"George 2003 The Babylonian Gilgamesh Epic 1.pdf";"";"508";"dd 74-6 A 3444 SB IT z 56 ND4381 =IM67564 A 22007 "
"George 2003 The Babylonian Gilgamesh Epic 1.pdf";"";"609";"300 URUK z A 3444 56 i 37–46 v 227–33 ii ii "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Parpola 1997 The Standard Babylonian Epic of Gilgamesh SAACT 3.pdf";"";"7";"only). b = A 3444 (Heidel, JNES 11 140ff). Cols. I and VI, "
"Parpola 1997 The Standard Babylonian Epic of Gilgamesh SAACT 3.pdf";"";"89";"45883 IV C A 3444 II b 150 151 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Oelsner 1986 Materialien zur Babylonischen Gesellschaft und Kultur in Hellenistischer Zeit MBGK.pdf";"";"83";"Wahrscheinliohkeito Die Inventarnummer A 3444 s:pricht daftir (s .. o~ Amn.., 579) "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Jiménez 2017 The Babylonian Disputation Poems CHANE 87.pdf";"";"292";"this function (A 3444, see George 2003: pl. 56 l. 290, see p. "
"Jiménez 2017 The Babylonian Disputation Poems CHANE 87.pdf";"";"519";"33 fn. 24 A.3444 274n699 A.4364 see s.v. arm 27, 8 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"George 2003 The Babylonian Gilgamesh Epic 2.pdf";"";"121";"dd 74-6 A 3444 SB IT z 56 ND4381 =IM67564 A 22007 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Pedersén 1997 Katalog der Beschrifteten Objekte aus Assur ADOG 23.pdf";"";"88";"Binnenwalls Ass 6457; A 3444; Foto Ass 874; Kode: TKn Bibliographie: RICCA 281 Zikkatu-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"George 1999 The Epic of Gilgamesh. A New Translation Penguin Classics.pdf";"";"9";"Chicago, tablet fragment A 3444. Line drawing by the author. 4 The Sun God "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"George 1995 Rv von Weiher SpTU 4 BiOr 52.pdf";"";"1";"in Chicago (A 3444, published by A. Heidel, JNES 11 [1952], pp. "
"George 1995 Rv von Weiher SpTU 4 BiOr 52.pdf";"";"2";"1995 732 in A 3444 of the abbreviated form of the sign TI, which "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Heidel 1949 The Gilgamesh Epic and Old Testament Parallels.pdf";"";"46";"Kontextbezogener Text konnte nicht extrahiert werden. Das Dokument weist eingeschränkte Sicherheitsberechtigungen auf. Das Kopieren von Inhalten ist nicht zulässig."

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Oelsner 2006 Rv George Gilgamesh OLZ 101.pdf";"";"3";"Das Chicagoer Fragment A 3444 (= z) gehört zu einem Ankauf, in dem sich "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Biggs 1995 Rv Stol CM 2 BiOr 52.pdf";"";"1";"in Chicago (A 3444, published by A. Heidel, JNES 11 [1952], pp. "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
