"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"21.05.2023 19:13:24"
"Gesucht nach";"A 22020"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"6"              
"Anzahl gefundener Vorkommen";"8"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Salonen 1968 Agricultura Mesopotamica nach sumerisch-akkadischen Quellen AASF B 149.pdf";"";"346";"1934, 20 = A 22020 Rs. 28 (GELB, MAD I 108): ENGAR.ME "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Gelb 1950 Sullat and Hanis ArOr 18.pdf";"";"11";"Old Akkadian tablet A 22020 from Khafiije reads clearly KA+ sU.sA-dSa-mu-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MAD 2. Old Akkadian Writing and Grammar I. J. Gelb., 1952.pdf";"Untitled";"230";"See No. 976 A 22020; f 1 ,TA193 , 40A,1 t; Ff1 "
"MAD 2. Old Akkadian Writing and Grammar I. J. Gelb., 1952.pdf";"Untitled";"244";"P <K1-( A 22020; TA 1936,140 iC1 FM 106 306. iTT EL A "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MAD 1. Sargonic Texts from the Diyala Region I. J. Gelb., 1952..pdf";"Untitled";"124";"1934, 20 = A 22020) List of persons counted by professions. 1) [1 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MAD 2. Old Akkadian Writing and Grammar I. J. Gelb., 1952.pdf";"Untitled";"230";"See No. 976 A 22020; f 1 ,TA193 , 40A,1 t; Ff1 "
"MAD 2. Old Akkadian Writing and Grammar I. J. Gelb., 1952.pdf";"Untitled";"244";"P <K1-( A 22020; TA 1936,140 iC1 FM 106 306. iTT EL A "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MAD 1. Sargonic Texts from the Diyala Region I. J. Gelb., 1952..pdf";"Untitled";"124";"1934, 20 = A 22020) List of persons counted by professions. 1) [1 "
