"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"26.05.2023 22:23:09"
"Gesucht nach";"A 33588"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"2"              
"Anzahl gefundener Vorkommen";"5"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Alster 1997 Proverbs of Ancient Sumer SP.pdf";"";"58";"T 924e = A 33588 = 5-8. From a by R.S. Falkowitz. "
"Alster 1997 Proverbs of Ancient Sumer SP.pdf";"";"301";"924 e = A 33588: SP 2.5-8. 3N-T 924 f= A 33589: "
"Alster 1997 Proverbs of Ancient Sumer SP.pdf";"";"443";"924 e = A 33588 3N-T 924 f = A 33589 CBS 2242 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Civil n.d. Index to the Corpus of Sumerian Literature_1999 vers.pdf";"";"150";"3N-T924e = A 33588 3N-T924f = A 33589 Ni 4306 (ISET "
"Civil n.d. Index to the Corpus of Sumerian Literature_1999 vers.pdf";"";"180";"=> 3N-T922j A 33588 => 3N-T924e A 33589 => 3N-T924f A "
