"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"29.05.2023 22:59:19"
"Gesucht nach";"A 5242"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"2"              
"Anzahl gefundener Vorkommen";"4"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Civil 1994 The Farmer's Instructions. A Sumerian Agricultural Manual AuOr Suppl 5.pdf";"";"107";"column tablets (A 5242; Rhode Island School of Design 19.063 {unpubL, photo]) "
"Civil 1994 The Farmer's Instructions. A Sumerian Agricultural Manual AuOr Suppl 5.pdf";"";"107";"and 66% in A 5242. This seems to show that one third of the "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Civil 1994 The Farmer's Instructions. A Sumerian Agricultural Manual AuOr Suppl 5 (2).pdf";"";"213";"column tablets (A 5242; Rhode Island School of Design 19.063 {unpubL, photo]) "
"Civil 1994 The Farmer's Instructions. A Sumerian Agricultural Manual AuOr Suppl 5 (2).pdf";"";"213";"and 66% in A 5242. This seems to show that one third of the "
