"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"27.05.2023 01:06:13"
"Gesucht nach";"A 3399"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"11"             
"Anzahl gefundener Vorkommen";"15"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"cad_r [1999].pdf";"Untitled";"339";"PN SIPA ÙZ A 3399 (unpub. OAkk., see MAD 3 228), SIPA ÙZ.{"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Foster 1982 Umma in the Sargonic Period.pdf";"";"96";"3384 A.3365 A.3399 A.3397 A.3012 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Pedersén 1997 Katalog der Beschrifteten Objekte aus Assur ADOG 23.pdf";"";"86";"nicht Ass 4184a); A 3399; Foto Ass 322; Kode: TKn Inhalt: Salmanassar I: Assur-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RIMS 1 Donbaz & Grayson 1984 Royal Inscriptions on Clay Cones from Assur now in Istanbul.pdf";"";"34";"Ass 4184a (A 3399); lines 21-26 Ass 4375 (A 3401); lines "
"RIMS 1 Donbaz & Grayson 1984 Royal Inscriptions on Clay Cones from Assur now in Istanbul.pdf";"";"89";"A 3398 271 A 3399 65 A 3400 101 A 3401 66 A 3402 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RIMA 1 Grayson 1987 Assyrian Rulers of the Third and Second Millennia BC (TO 1115 BC).pdf";"";"211";"A 3394 61 A 3399 62 A 3342 63 A 3652 64 A 3417 "
"RIMA 1 Grayson 1987 Assyrian Rulers of the Third and Second Millennia BC (TO 1115 BC).pdf";"";"367";"A 3396 77.2.21 A 3399 77.2.61 A 3400 78.42 A 3401 77.2.47 A 3402 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MAD 3 Gelb 1957 Glossary of Old Akkadian.pdf";"";"252";"SIPA OZ (A 3399); and simply SIPA (passim). PSarg., Sarg., and Ur "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MDP 16 [Legrain 1913 Tablettes de comptabilité de l'époque de la dynastie d'Agadê].pdf";"Mémoires";"48";"AO. 410, n° A. 3399 {Dél., XII, fig. 165). 323 AO. 410, n"" "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RIMS 1 Donbaz & Grayson 1984 Royal Inscriptions on Clay Cones from Assur now in Istanbul.pdf";"";"34";"Ass 4184a (A 3399); lines 21-26 Ass 4375 (A 3401); lines "
"RIMS 1 Donbaz & Grayson 1984 Royal Inscriptions on Clay Cones from Assur now in Istanbul.pdf";"";"89";"A 3398 271 A 3399 65 A 3400 101 A 3401 66 A 3402 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RIMA 1 Grayson 1987 Assyrian Rulers of the Third and Second Millennia BC (TO 1115 BC).pdf";"";"211";"A 3394 61 A 3399 62 A 3342 63 A 3652 64 A 3417 "
"RIMA 1 Grayson 1987 Assyrian Rulers of the Third and Second Millennia BC (TO 1115 BC).pdf";"";"367";"A 3396 77.2.21 A 3399 77.2.61 A 3400 78.42 A 3401 77.2.47 A 3402 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MDP 16 [Legrain 1913 Tablettes de comptabilité de l'époque de la dynastie d'Agadê].pdf";"Mémoires";"48";"AO. 410, n° A. 3399 {Dél., XII, fig. 165). 323 AO. 410, n"" "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"MAD 3 Gelb 1957 Glossary of Old Akkadian.pdf";"";"252";"SIPA OZ (A 3399); and simply SIPA (passim). PSarg., Sarg., and Ur "
