"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"26.05.2023 21:47:34"
"Gesucht nach";"A 33454"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"9"              
"Anzahl gefundener Vorkommen";"19"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"PSD 1 1 A1 [1992].pdf";"";"50";"8.; var. from A 33454 = SP CoIl. 11.69, beginning epigraphically uncertain). a-da-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"PSD 1 1 A1 [1992]a.pdf";"";"99";"8.; var. from A 33454 = SP CoIl. 11.69, beginning epigraphically uncertain). a-da-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Fs Civil 2.pdf";"";"287";"914 ff =A 33454: see Alster 1997: 195, 424), but this is not "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Feliu & Karahasi & Rubio 2017 The First Ninety Years. A Sumerian Celebration in Honor of Miguel Civil SANER 12 Fs Civil 2.pdf";"";"287";"914 ff =A 33454: see Alster 1997: 195, 424), but this is not "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Peterson 2017 A Middle Babylonian Sumerian Fragment of the Adapa Myth from Nippur and an Overview of the Middle Babylonian Sumerian Literary Corpus at Nippur SANER 12 Fs Civil 2.pdf";"SANE120001";"4";"914 ff =A 33454: see Alster 1997: 195, 424), but this is not "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Alster 1997 Proverbs of Ancient Sumer SP.pdf";"";"72";"igi nu-dug] A 33454 o.1 '-2' [xrx x kur-sa "
"Alster 1997 Proverbs of Ancient Sumer SP.pdf";"";"149";"T 914ff. = A 33454. See No. 69-71. Ni 4469 (ISET 2, "
"Alster 1997 Proverbs of Ancient Sumer SP.pdf";"";"151";"his city."" 11.69 A 33454 o. 1 1 -2 1 ~ Collection 11 "
"Alster 1997 Proverbs of Ancient Sumer SP.pdf";"";"151";"ge di-di A 33454 o. 3' a-da-be nig-im-[ ... ] "
"Alster 1997 Proverbs of Ancient Sumer SP.pdf";"";"301";"T 914 ff(= A 33454): CfSP11.69-70. 3N-T 914 hh (= A 33456): "
"Alster 1997 Proverbs of Ancient Sumer SP.pdf";"";"301";"SP 1 00. A 33454: see 3N-T 914ff BM 38283, BWL Pl. 66, "
"Alster 1997 Proverbs of Ancient Sumer SP.pdf";"";"444";"914 ff = A 33454 CBS 7798 Ni 4516 CBS 7907 A 30155 ("

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Veldhuis 2000 Sumerian Proverbs in Their Curricular Context (Rv Alster SP) JAOS 120.pdf";"";"9";"3N-T914ff = A 33454 is edited by Alster as a duplicate of SP "
"Veldhuis 2000 Sumerian Proverbs in Their Curricular Context (Rv Alster SP) JAOS 120.pdf";"";"9";"3N-T914ff = A 33454 is used by Alster as a duplicate to SP "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Nippur Catalogue.pdf";"";"502";"NT 914ff (A 33454); TA 205 XI 2;. frag. 5.0 x 6.o "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Civil n.d. Index to the Corpus of Sumerian Literature_1999 vers.pdf";"";"152";"3N-T914ff =A 33454 6.3.8 P 8 = Proverbs Collection 8 sa\) e-"
"Civil n.d. Index to the Corpus of Sumerian Literature_1999 vers.pdf";"";"152";"3N-T914ff =A 33454 6.3 .12 P 12 = Proverbs Collection 12 tV "
"Civil n.d. Index to the Corpus of Sumerian Literature_1999 vers.pdf";"";"179";"=> 3N-T914ee A 33454 => 3N-T914ff A 33454 => 3N-T914ff ICSL "
"Civil n.d. Index to the Corpus of Sumerian Literature_1999 vers.pdf";"";"179";"=> 3N-T914ff A 33454 => 3N-T914ff ICSL as of 10:11 on "
