"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"21.05.2023 16:17:38"
"Gesucht nach";"A 1770"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"3"              
"Anzahl gefundener Vorkommen";"8"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"IRAQ59.pdf";"";"54";"Nr.26 1982.A.1770 Nr.47 1982.A.1772 NI'. 6 1982.A."
"IRAQ59.pdf";"";"62";"9.kam 1982.A.1770 3,2 x4,5 cm 7. Der Personenname bedeutet «("

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 52 1983.pdf";"";"352";"M.: 741 Biscardi A.: 1770 Bisi A. M.: 255, 742 Bittel K.: 50-53 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"2";"1769(Nr. 40 A.1770 (Nr. 26 A.1771 (Nr. 27 A."
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"2";"Nr. 40) 1982.A.1770 (Nr. 26) 1982.A.1771 (Nr. 27) "
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"3";"26 1982.A. A.1770 Nr. 47 47 1982.A. A.1772 Nr. 6 "
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"19";"26 1 982.A. 1770 3,2x4,Scm Nr. 26 1982.A.1770 3,2 ? "
"Jursa 1997 Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery Iraq 59.pdf";" <xref ref-type=""transliteration"" rid=""trans3"" ptype=""t4200441"" citart=""citart1"">Neu- und spätbabylonische Texte aus den Sammlungen der Birmingham Museums and Art Gallery</xref> ";"19";"Nr. 26 1982.A.1770 3,2 ? 4,5 cm 1 14 ma.na 10 "
