"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"03.06.2023 22:55:46"
"Gesucht nach";"A 667"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"31"             
"Anzahl gefundener Vorkommen";"38"             

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Milone_2004_Adab_PhD.pdf";"INTRODUZIONE";"62";"birra. 171 Cf. A 667, 970; Me-sag appare col titolo di sagi in "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"PSD 1 3 A3 [1998].pdf";"";"32";"8; Yang Adab A 667:3; Yang Adab A 699+:3; lugalad-da, Iugal-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"4241576.pdf";"Excavations at Tall Arpachiyah, 1933";"136";"6 A 666 A 667 TT6 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 69 2000.pdf";"";"144";"G.: 30 Berlejung, A.: 667, 715 Bernbeck, R.: 625, 664 Bianchi, F.: 609 Bienkowski, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 69 2000 [2].pdf";"";"142";"G.: 30 Berlejung, A.: 667, 715 Bembeck, R.: 625, 664 Bianchi, F.: 609 Bienkowski, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 42 1973.pdf";"";"340";"6 Kitchen K. A.; 667 Kiztlyay H .: 176 Klengel H.: 5, 26, 8 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 45 1976.pdf";"";"279";"J. F . A.: 667 Schachermeyr F. : 684 Scharbert J.: 767, 897 Schatzmiller "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"BagM 25 1994.pdf";"";"48";"spät III SA A 667 SA spät III SA 540 SA spät III SA "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Selz 1995 Untersuchungen zur Götterwelt des altsumerischen Stadtstaates von Lagas OPKF 13.pdf";"";"406";"in Fära(?): II A:667 ihr Kind dab-Ü: dab-Ü [5] dba-"
"Selz 1995 Untersuchungen zur Götterwelt des altsumerischen Stadtstaates von Lagas OPKF 13.pdf";"";"421";"[270]; II A:667, 1411; vgl. SENATBM S. 324 kus7~dba-baa, dba1-"
"Selz 1995 Untersuchungen zur Götterwelt des altsumerischen Stadtstaates von Lagas OPKF 13.pdf";"";"432";"lSÜR.Ü: II A:667 sur-galki > > > utul-galki s sä= "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
