"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"27.05.2023 21:59:46"
"Gesucht nach";"A 3584"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"5"              
"Anzahl gefundener Vorkommen";"9"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Pedersén 1997 Katalog der Beschrifteten Objekte aus Assur ADOG 23.pdf";"";"93";"tief Ass 16119; A 3584; Foto Ass 4786; Kode: TKn Bibliographie: RICCA 301 Zikkatu-"

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RIMS 1 Donbaz & Grayson 1984 Royal Inscriptions on Clay Cones from Assur now in Istanbul.pdf";"";"82";"Ass 16119 (A 3584); copy on pi. 40. 302 Ass 16658 (A "
"RIMS 1 Donbaz & Grayson 1984 Royal Inscriptions on Clay Cones from Assur now in Istanbul.pdf";"";"92";"A 3583 257 A 3584 301 A 3585 76 A 3586 42 A 3587 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RIMA 3 Grayson 1996 Assyrian Rulers of the Early First Millennium BC II (858-745 BC).pdf";"";"275";"— c 1067 A 3584 16119 301 — c 1068 A 3531 16658 302 "
"RIMA 3 Grayson 1996 Assyrian Rulers of the Early First Millennium BC II (858-745 BC).pdf";"";"283";"A 3505 0.1055 A 3584 0.1067 A 3336 0.1037 A 3441 102.39.3 A 3506 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RIMS 1 Donbaz & Grayson 1984 Royal Inscriptions on Clay Cones from Assur now in Istanbul.pdf";"";"82";"Ass 16119 (A 3584); copy on pi. 40. 302 Ass 16658 (A "
"RIMS 1 Donbaz & Grayson 1984 Royal Inscriptions on Clay Cones from Assur now in Istanbul.pdf";"";"92";"A 3583 257 A 3584 301 A 3585 76 A 3586 42 A 3587 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"RIMA 3 Grayson 1996 Assyrian Rulers of the Early First Millennium BC II (858-745 BC).pdf";"";"275";"— c 1067 A 3584 16119 301 — c 1068 A 3531 16658 302 "
"RIMA 3 Grayson 1996 Assyrian Rulers of the Early First Millennium BC II (858-745 BC).pdf";"";"283";"A 3505 0.1055 A 3584 0.1067 A 3336 0.1037 A 3441 102.39.3 A 3506 "
