"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"03.06.2023 23:23:17"
"Gesucht nach";"A 6741"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"4"              
"Anzahl gefundener Vorkommen";"9"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"jcs38.pdf";"";"54";"10399 (copy). A 6741: GU.DUs.rA'.KI ITLAPIN / ru4,. 4[+l]."
"jcs38.pdf";"";"56";"PHOTO NUMBERS AI652 A 6741 Ashmolean 1933.1101 Ashmolean 196..1.1475 BM 26377 BM 50149 "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"0(4).pdf";"";"3";"- 5 Cutha A 6741: Go.DUB.rA1.KI 1TI.APIN / rU41. ~ "
"0(4).pdf";"";"8";"1652 FLP 1833 A 6741 MLC 488 Ashmolean 1933.1101 MM 804 Ashmolean 1983.1475 N "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Nielsen 2010 Sons and Descendants. A Social History of Kin Groups and Family Names in the Early. Neo-Babylonian Period, 747-626 B.C CHANE 43_pdfed.pdf";"Nielsen 2010 Sons and Descendants. A Social History of Kin Groups and Family Names in the Early. Neo-Babylonian Period, 747-626";"171";"122 3 (A 6741) and BM 33905. Ea-e~ir-danni may also "
"Nielsen 2010 Sons and Descendants. A Social History of Kin Groups and Family Names in the Early. Neo-Babylonian Period, 747-626 B.C CHANE 43_pdfed.pdf";"Nielsen 2010 Sons and Descendants. A Social History of Kin Groups and Family Names in the Early. Neo-Babylonian Period, 747-626";"171";"3:9 [A 6741)). 95 VAS l 37 iii 36-iv 54 ("
"Nielsen 2010 Sons and Descendants. A Social History of Kin Groups and Family Names in the Early. Neo-Babylonian Period, 747-626 B.C CHANE 43_pdfed.pdf";"Nielsen 2010 Sons and Descendants. A Social History of Kin Groups and Family Names in the Early. Neo-Babylonian Period, 747-626";"248";"122 3 (A 6741), a sale of title to a house dated in "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Brinkman & Kennedy 1986 Supplement to the Survey of Dated Neo-Babylonian Economic Texts, 721-626 B.C. (JCS 35 [1983] 1-90 JCS 38.pdf";"Supplement to the Survey of Dated Neo-Babylonian Economic Texts, 721-626 B.C. (JCS 35 [1983] 1-90)";"3";"VIII-r51 Cutha A 6741: GO.DUs.rA1.KI ITI.APIN / ru41. 4[+"
"Brinkman & Kennedy 1986 Supplement to the Survey of Dated Neo-Babylonian Economic Texts, 721-626 B.C. (JCS 35 [1983] 1-90 JCS 38.pdf";"Supplement to the Survey of Dated Neo-Babylonian Economic Texts, 721-626 B.C. (JCS 35 [1983] 1-90)";"8";"1652 L.193a A 6741 K.3a Ashmolean 1933.1101 Fn.6 Ashmolean 1963.1475 K."
