"Suchergebnisse"

"Zusammenfassung"
"Gespeichert am";"20.05.2023 02:22:10"
"Gesucht nach";"A 1214"
"In Index(en)";"D:\_OA\Indice\Index.pdx"
"Anzahl gefundener Dokumente";"5"              
"Anzahl gefundener Vorkommen";"7"              

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"OrNS 49 1980.pdf";"";"200";"P.: 93 Harif A.: 1214 Harlan J. R.: 1174 Harmatta J.: 109, 538, 541, "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Delaporte 1923 Catalogue des cylindres orientaux, cachets et pierres gravées du Musée du Louvre. II. Acquisitions CCL 2.pdf";"";"143";"A 1203. NIKB, A 1214. NINGIZIDpArB sente l’ishakkou Goudea, T 11 1. NISABA, T "
"Delaporte 1923 Catalogue des cylindres orientaux, cachets et pierres gravées du Musée du Louvre. II. Acquisitions CCL 2.pdf";"";"194";"4.1205) JO (A.1214) 11 (h.2225) l 2 (A.2216) "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"Richter 20042 Untersuchungen zu den lokalen Panthea Süd- und Mittelbabyloniens in altbabylonischer Zeit AOAT 257.pdf";"";"596";"9, A. 555, A. 1214 en des N anna 150 en des Ninurta A. "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"1_18-3_Palatinus_Paranatellonta.pdf";"";"58";"1170 B. 1172 A. 1214 A. 1363 E, vgl. 1395 A. S_vnode des "

"Dateiname";"Titel";"Seite";"Suchvorkommen"
"KeiBi 41 1979.pdf";"";"46";": 93 Barif A,: 1214 Harlan J. R.: 7 174 Harmatta J.: 109, 538, "
"KeiBi 41 1979.pdf";"";"46";"P.: 93 Harii A.: 1214 Harlan ]. R.: 1774 Harmatta ].: 109, 538, 541, "
